,caption,add_tail,repeat_event,repeat_word,delete_word,error
14709,"dog bark nearby , and then a gun fire nearby , after which dog continue to bark as dog bark nearby",0,1,0,0,1
14710,"the wind be blow , a train engine be run and metal clacking be present , an adult female speak over an amplification device , and the train horn blow and a",1,0,0,0,1
14711,a man speak follow by several click while while several click,0,1,1,0,1
14712,light wind blow follow by goat and a woman talk talk then a man speak,0,0,1,0,1
14713,vehicle horn honk several time as bird chirp in the background while vehicle pass by in the distance with after s by in the distance,1,1,0,0,1
14714,a vibrate bell ring multiple time,0,0,0,1,1
14715,a siren blare from a distance and slowly get loud as it approach,0,0,0,1,1
14716,two swish occur and then a swoosh,0,0,0,0,0
14717,a dog bark nearby nearby and another dog bark far away,0,0,1,0,1
14718,a swooshing swooshing sound and a person talk,0,0,1,0,1
14719,a soft voice mumble to to a flock of sheep as they baa in unison,0,0,1,0,1
14720,a woman speak while a sewing machine operate,1,0,0,1,1
14721,"tick be present , and an adult male and female speak in the background",0,0,0,0,0
14722,"a man and woman laugh , proceed by a male coughing",0,0,0,0,0
14723,a man speak and laugh of a before laugh,1,1,0,0,1
14724,an adult male speak as a motor run,0,0,0,0,0
14725,a man deliver a speech,0,0,0,0,0
14726,a chorus chorus sing amid several bang,0,0,1,0,1
14727,a child laugh very hard before a child laugh very hard,0,1,0,0,1
14728,a a gun be fire and music play,0,0,1,0,1
14729,people talk low in the background while someone be sleep and snore up close,1,0,0,1,1
14730,"be play , boom occur , and a bird sing while music be play , boom occur",0,1,0,1,1
14731,toilet flush follow by silence follow by toilet flush,0,1,0,0,1
14732,a motor cycle engine be idle then get switch off and be switch on again,0,0,0,0,0
14733,a man be talk and a dog be bark,0,0,0,0,0
14734,church bell chime church bell chime,0,1,0,1,1
14735,a young child be give a speech and a crowd be murmur,0,0,0,0,0
14736,dog growl and bark,0,0,0,0,0
14737,a crowd be applaud and a man speak and a man speak,0,1,0,0,1
14738,rain be gently fall and thunder rumble in the distance a woman groan,0,0,0,1,1
14739,bird flutter and coo while wind gust,0,0,0,0,0
14740,"a long , loud burp before a long , loud burp",0,1,0,0,1
14741,quack quietly and a woman speak,0,0,0,1,1
14742,"a pig nearby as people talk , and then a police siren sound in the distance",0,0,0,1,1
14743,an audience cheer while a man talk an audience cheer,0,1,0,1,1
14744,a girl laugh and another speak after spray something as a girl laugh,0,1,0,0,1
14745,rub wood along with breathing,0,0,0,0,0
14746,a man speak by an engine revving rapidly follow by more speech,0,0,0,1,1
14747,a dog bark bark and an engine idle while a man speak and then,1,0,1,0,1
14748,man softly then a horn honk and man laugh and guffaw loudly,0,0,0,1,1
14749,"water pour out of a faucet loudly nearby , follow by a child laugh",0,0,0,0,0
14750,loud beep noise noise while loud beep,0,1,1,1,1
14751,a laugh while someone speak and a baby laugh,0,1,0,1,1
14752,"a truck rev up and drive drive away , follow by a cartoon droop sound , after which the truck resume drive",0,0,1,0,1
14753,a power tool drilling follow by a man talk then plastic click before a power tool drilling again,0,0,0,0,0
14754,"bomb explode nearby several time , follow by water drip drip",0,0,1,0,1
14755,"a man speak and a small crowd laugh , comment , and talk",0,0,0,0,0
14756,wind blow into a microphone with wind chime softly ring in the background as a dog bark follow by sheep baaing and a,1,0,0,0,1
14757,someone be snore softly while a television play in the background,0,0,0,0,0
14758,"air blowing , people speak before air blowing , people speak",0,1,0,0,1
14759,an engine rev,0,0,0,0,0
14760,a frog croak after a frog croak,0,1,0,0,1
14761,a man be burp and have fun with friend on the,1,0,0,0,1
14762,a drill make a hole in an unknown object,0,0,0,0,0
14763,burp follow by screech,0,0,0,0,0
14764,be speak and dog be whine as,1,0,0,1,1
14765,a a woman,0,0,1,1,1
14766,"a baby cry , a woman",0,0,0,1,1
14767,honk of a as a train approach follow by a train approach,0,1,0,1,1
14768,motorboat engine run as wind make loud noise on the microphone,0,0,0,0,0
14769,a toy helicopter be rev faster and faster while ter,0,1,0,0,1
14770,"crowd be cheer , and a female be speak before crowd be cheer",0,1,0,0,1
14771,water splash and someone giggle,0,0,0,0,0
14772,a bird be chirp alike to a human laugh and a bird be chirp alike to a human laugh,0,1,0,0,1
14773,a man give a speech with clap in the background,0,0,0,0,0
14774,constant flow water after after constant flow water,0,1,1,0,1
14775,electric machine sand wood follow by wood,0,1,0,0,1
14776,an instrument playing and a growl,0,0,0,1,1
14777,people speak while spray,0,0,0,0,0
14778,a train accelerate be follow by a steam whistle follow by a steam whistle,0,1,0,0,1
14779,a motorboat running follow by water splashing and and a motorboat engine power down,0,0,1,1,1
14780,people speak be follow by a countdown and pop sound and people speak be,0,1,0,0,1
14781,"a repetitive , moderate beep be follow soft computer keyboard typing and a low , longer bleep",0,0,0,1,1
14782,train whistle blow blow,0,0,1,0,1
14783,sound of something move around in water then a man speak follow by sound of something something move around in water then a man speak,0,1,1,0,1
14784,a door open then close close follow by thunder and while thunder,1,1,1,0,1
14785,hum of engine engine with wind blow and man speak with,1,0,1,0,1
14786,a toilet flush and a toilet flush,0,1,0,0,1
14787,a vehicle engine work nearby,0,0,0,0,0
14788,a man speak while bee fly and then,1,0,0,0,1
14789,"a vehicle motor be present , then an adult male speak while a vehicle motor be present , then an adult male speak",0,1,0,0,1
14790,rev motorcycle,0,0,0,1,1
14791,"a man be speak outside , and more people be talk",0,0,0,0,0
14792,people clap while multiple people clap,0,1,0,1,1
14793,loud burst of of noise with cartoon sound voice,0,0,1,0,1
14794,"a frog swallow a buzzing fly and croak , then a man sing music play of a",1,0,0,1,1
14795,a voice be hear faintly follow by a large blast of air and a small digital beep as,1,0,0,0,1
14796,multiple dog bark and howl follow by multiple dog bark,0,1,0,0,1
14797,people scream and the sound of engine race,0,0,0,0,0
14798,car go fast with,1,0,0,0,1
14799,the sound of heavy rain outdoors of a,1,0,0,0,1
14800,a woman speak while multiple dog bark as before multiple dog bark,1,1,0,0,1
14801,a machine motor humming follow by steam hiss,0,0,0,0,0
14802,he be speak and spraying occur in the,1,0,0,0,1
14803,an engine run while while people talk,0,0,1,0,1
14804,"a car rev loudly nearby , and then race away and a car rev loudly nearby",0,1,0,0,1
14805,a chainsaw buzzing and rumble follow by,1,0,0,0,1
14806,a high - pitched person snore and breathe heavily alongside some camera muffle,0,0,0,0,0
14807,engine run and people speak,0,0,0,1,1
14808,a wail siren on a truck drive by after a wail siren on a truck drive by,0,1,0,0,1
14809,a bird make noise as a laugh in the background and,1,0,0,1,1
14810,a large ring continuously,0,0,0,1,1
14811,music be play as a child be talk,0,0,0,0,0
14812,drill drill be use,0,0,1,0,1
14813,mid frequency white noise follow beep,0,0,0,1,1
14814,tap and distant muffled speech before tap,0,1,0,0,1
14815,a beep follow by whoosh and bang end with a ring,0,0,0,0,0
14816,an engine rumble and grind continuously,0,0,0,0,0
14817,a man talk in the background as a vehicle horn honk in the distance follow by a faint emergency siren go off and another man talk in the foreground as wind moderately blow into a microphone,0,0,0,0,0
14818,a small burst follow by people laugh,0,0,0,0,0
14819,metal slide against metal follow by sheep sheep beijing,0,0,1,0,1
14820,thunder crash loudly as,1,0,0,0,1
14821,a person speak to a large audience and they cheer after they cheer,0,1,0,0,1
14822,a machine be on and power drill be be use,0,0,0,1,1
14823,a woman speak follow by light clank in the background,0,0,0,0,0
14824,a loud high pitch engine rev up and down,0,0,0,0,0
14825,people speak distant chirp and nearby squeak of a frog as people speak,0,1,0,1,1
14826,a child speak and quack,0,0,0,1,1
14827,train horn blow as train be run on track,0,0,0,0,0
14828,whoosh and chiming follow by a person,0,0,0,1,1
14829,a woman and a boy talk as,1,0,0,0,1
14830,be spray,0,0,0,1,1
14831,a sink faucet pour water briefly before a metal clank follow by hollowed metal clang several time then metal clank with light scrapping,0,0,0,0,0
14832,a lot of siren of different type all blare at the same time along with vehicle noise,0,0,0,0,0
14833,"a person snore nearby loudly , after which a man talk nearby and a",1,0,0,0,1
14834,an automatic saw work,0,0,0,0,0
14835,"bird coo , scramble in a wooden cage , and fly hit the side",0,0,0,1,1
14836,a machine machine run and vibrate,0,0,1,0,1
14837,airplane engine run and fade away,0,0,0,0,0
14838,rain fall hard and traffic pass,0,0,0,0,0
14839,wind wind blow very fast,0,0,1,0,1
14840,bird coo and flap wing after bird coo,0,1,0,0,1
14841,"car idle nearby , and then a vehicle revs several time in the distance",0,0,0,0,0
14842,"water splashing , a dog barking , and a man talk as a man talk",0,1,0,0,1
14843,wind be blow lightly and a sheep bleat two time,0,0,0,0,0
14844,a small dog bark growl,0,0,0,1,1
14845,pigeon coo and flap their wing and pigeon coo,0,1,0,0,1
14846,"applause , follow by silence",0,0,0,0,0
14847,pound hit sound follow by a dog bark frantically with,1,0,0,0,1
14848,a bowl be scrape and a woman speak,1,0,0,1,1
14849,a horse make neigh and whinny sound,0,0,0,0,0
14850,a car be run follow by the gas be push and the engine engine suddenly roar in mid frequency,0,0,1,0,1
14851,motor vehicle race past,0,0,0,0,0
14852,"a man man give a speech , some jingling of chain",0,0,1,0,1
14853,a woman speak and run a sewing machine,0,0,0,0,0
14854,"two man share a brief exchange , cricket be hear as the engine engine of a vehicle start",0,0,1,0,1
14855,loud gunfire follow by a roar and then more gunshot,0,0,0,0,0
14856,"someone whistle a tune with a lot of revert , before music start while music start",0,1,0,0,1
14857,two two man speak with some light pop,0,0,1,0,1
14858,a man man be speak and and spray paint a,1,0,1,1,1
14859,people laugh and talk,0,0,0,0,0
14860,a horse run and man shout,0,0,0,1,1
14861,an adult female be speak as an adult female be speak,0,1,0,0,1
14862,a be bark,0,0,0,1,1
14863,a a pan sizzle and dish clatter,0,0,1,0,1
14864,a male speak while set down some object and a a and set down some object,1,1,1,0,1
14865,engine rev with distant murmuring murmuring follow by applause,0,0,1,0,1
14866,rain be fall,0,0,0,0,0
14867,"a woman speak , a low machine sound and she speak again with and she speak again",1,1,0,0,1
14868,"a vehicle 's window being roll up and and down , then engine accelerate , with inaudible voice in background",0,0,1,0,1
14869,heavy wind in a microphone with with a gentleman speak in the background,0,0,1,0,1
14870,helicopter blade rotate,0,0,0,1,1
14871,a man calmly and then,1,0,0,1,1
14872,a toilet flush follow by footstep,0,0,0,0,0
14873,animal quietly before animal whimper quietly,0,1,0,1,1
14874,"a man speak , some loud smack follow by music while a man man speak , some loud",0,1,1,1,1
14875,a dog be whimper softly and then more loudly,0,0,0,0,0
14876,a woman follow by a pig oink then multiple woman laugh and speak and speak,0,1,0,1,1
14877,people yell and laugh while a boat engine hum,0,0,0,0,0
14878,one person whistle then a second joining in,0,0,0,0,0
14879,a machine click back and forth methodically,0,0,0,0,0
14880,a man laugh and speak while a pig oinks,0,0,0,0,0
14881,an engine vibrate idle nearby,0,0,0,1,1
14882,"an adult female be speak , and clatter and thump be",0,0,0,1,1
14883,engine idle at mid - - frequency,0,0,1,0,1
14884,an engine be idle then rev up sharply,0,0,0,0,0
14885,a vehicle engine turn over and a man speak,0,0,0,0,0
14886,wind and leave rustle,0,0,0,0,0
14887,whistling and chirping by a bang,0,0,0,1,1
14888,a young person sneeze three time in row,0,0,0,1,1
14889,sewing machine buzzing stop follow by,1,0,0,1,1
14890,a train horn be trigger follow by some tweet while a train horn be trigger,0,1,0,1,1
14891,phone ringing then man and woman speak on the,1,0,0,0,1
14892,"something shuffle , a man speak , two tap , a splash and then someone sip and cough and then someone sip",0,1,0,0,1
14893,a clock ticking follow by a lever cranking then a cuckoo clock bird sounding and gear crank,0,0,0,0,0
14894,continuous snoring,0,0,0,0,0
14895,an engine run with rhythmic metal clattering and clack and a hiss occur,0,0,0,1,1
14896,a person talk as a file rasp on wood,0,0,0,0,0
14897,a siren wail and pass by,0,0,0,0,0
14898,some material be crumple,0,0,0,0,0
14899,static in the the background while a child burps and then talk,0,0,1,0,1
14900,rain along with with thunder of a,1,0,1,0,1
14901,baby crying and a slight rattle sound,0,0,0,0,0
14902,goat bleat with people indistinctly while goat bleat,0,1,0,1,1
14903,continuous hissing as continuous hissing,0,1,0,0,1
14904,type on a keyboard be,0,0,0,1,1
14905,"clicking occur , and a motor vehicle engine attempt to start but do not",0,0,0,0,0
14906,gunfire with soft soft music play in the background,0,0,1,0,1
14907,metal be jingle lightly and a clock be tick follow a clock be tick,0,1,0,1,1
14908,two car be race and a man speak over a,0,0,0,1,1
14909,steady jet engine run with wind blow in background in the,1,0,0,0,1
14910,a truck pass by and a crowd gasp and cheer,0,0,0,0,0
14911,a toilet be flush and it slowly drain in in the,1,0,1,0,1
14912,a man be speak and an engine be idle follow by an engine be idle,0,1,0,0,1
14913,a power tool drilling then a kid speak follow by more drilling and while a power tool drilling then a a kid speak,1,1,1,0,1
14914,a man speak as wind blow and an engine idle,0,0,0,0,0
14915,sizzling sizzling and a man speak,0,0,1,0,1
14916,pigeon vocalize and object move,0,0,0,0,0
14917,click on a with people speak in the distance,0,0,0,1,1
14918,a train horn beep twice and hiss be in the background on the,1,0,0,0,1
14919,a vehicle engine run idle before rev as a man talk in the background and wind lightly blow into a microphone,0,0,0,0,0
14920,rustle and distant speech with sound,0,0,0,1,1
14921,a muffled vehicle engine revving and accelerate as dirt and gravel clank against metal and and plastic rattle,0,0,1,0,1
14922,a man talk as a clock be tick,0,0,0,0,0
14923,an aircraft engine engine sharply run,0,0,1,0,1
14924,a woman laugh then talk and lower to a whisper,0,0,0,0,0
14925,train horn sound in in the distance follow by train horn sound in the distance,0,1,1,0,1
14926,jet fly by very very close noise,0,0,1,1,1
14927,a woman talk as another woman hum several time and another woman hum several time,0,1,0,0,1
14928,pigeon coo alongside repeat tap on wood as bird chirp in the background,0,0,0,0,0
14929,a car engine run then a horn honk multiple time,0,0,0,0,0
14930,a woman speak follow by water pour out of a faucet and into a container while an electrical device repeatedly buzz in the background,0,0,0,0,0
14931,an aircraft engine run idle in the distance follow by another aircraft engine run idle,0,0,0,0,0
14932,a large motor vehicle drive by and then another with the engine rev follow by,1,0,0,0,1
14933,people talk with a baby cry,0,0,0,0,0
14934,a man deliver a speech follow by a metal crash with,1,0,0,0,1
14935,"bird be chirp and call , and and an adult male speak",0,0,1,0,1
14936,bleeping with click in in the background,0,0,1,1,1
14937,a gunshot in the the rain follow by an airplane passing and people scream in the distance after an p,0,1,1,1,1
14938,"wind be blow , a man speak noise of a person walk - in water on",1,0,0,1,1
14939,a person sneeze and thump occur,0,0,0,0,0
14940,water run while a cat screech with as water run,1,1,0,0,1
14941,adult female and an adult male be speak and laugh by laugh,0,1,0,1,1
14942,a truck be run while people speak,0,0,0,0,0
14943,"rustle and clicking be present , a horse run , insect and bird chirp , and a horse whinny",0,0,0,0,0
14944,"a cat meow nearby , follow by an object come in contact with a surface",0,0,0,0,0
14945,hiss and toilet flush,0,0,0,0,0
14946,a a bus engine idle and hydraulic release,0,0,1,0,1
14947,a a small girl speak before a small girl speak,0,1,1,0,1
14948,people talk in a crowd,1,0,0,1,1
14949,bird be chirp and air escape rapidly,0,0,0,0,0
14950,engine rev with a person talk and bell ring of a,1,0,0,1,1
14951,a telephone ring repeatedly,0,0,0,0,0
14952,aircraft engine run roughly continuously with a hissing sound,0,0,0,0,0
14953,a sink faucet trickle water follow by water drip then several plastic thump before a moderate - pitch squeak,0,0,0,0,0
14954,a gun fire and someone scream then speak,0,0,0,0,0
14955,"a dog sniff , follow by duck quack loudly several time nearby and people talk in background quietly before duck quack loudly several time nearby",0,1,0,1,1
14956,a person type on a keyboard,0,0,0,0,0
14957,"bird be chirp , an adult male speak , rustling occur and shuffling occur , and a dog pant and grunt",0,0,0,0,0
14958,a man be give an impassioned speech as a man be an imp,0,1,0,1,1
14959,a sewing machine be use heavily as a sewing machine be use heavily,0,1,0,0,1
14960,a truck be rev its engine and spin its tire,0,0,0,0,0
14961,a crowd be applaud for a long time after a crowd be applaud for a long time time,0,1,1,0,1
14962,people speak and bark,0,0,0,1,1
14963,a person be snore somewhat silently a follow by a person be snore somewhat silently,1,1,0,0,1
14964,a man be give a speech confidently a crowd murmur while a crowd murmur,0,1,0,1,1
14965,a a man speak follow by quick loud vibration follow by,1,0,1,0,1
14966,an aircraft speed overhead follow by wind blow and people speak,0,0,0,0,0
14967,a dog bark with a humming sound in the background follow by a man speak follow by,1,0,0,0,1
14968,a constant electrical hum follow by an engine struggle to story,0,0,0,0,0
14969,loud banging follow by man speak,0,0,0,0,0
14970,a sewing machine run follow by by a sewing machine run,0,1,1,0,1
14971,engine revving follow by idle down,0,0,0,0,0
14972,two person laugh while some metal object be move,0,0,0,0,0
14973,distant rumbling with duck quack before duck quack,0,1,0,0,1
14974,a dog howl in a yard after a dog howl in a yard,0,1,0,0,1
14975,bird chirp and a man speak and a,1,0,0,0,1
14976,"a small helicopter hover nearby loudly , follow by a scream",0,0,0,0,0
14977,thunder clap and rain sound with a car alarm noise,0,0,0,0,0
14978,car horn and speed up while people talk,0,0,0,0,0
14979,crinkling and crumple crumple a,1,0,1,0,1
14980,repetitive burp sound and a woman and man speak and repetitive burp sound,0,1,0,0,1
14981,a siren wail out while an an engine run,0,0,1,0,1
14982,"an adult female speak , liquid pour , and pop and crackling occur while pop",0,1,0,0,1
14983,a toy helicopter be be use,0,0,0,0,0
14984,an engine chug consistently,0,0,0,0,0
14985,bird be singe and a woman speak,0,0,0,0,0
14986,toilet flushing follow by flushing,0,1,0,1,1
14987,a man be speak along with water gurgling and people communicate in the background,0,0,0,0,0
14988,people speak in the distance with oncome clip clop of a horse,0,0,0,0,0
14989,a baby cry loudly as,1,0,0,0,1
14990,click and tap noise,0,0,0,0,0
14991,a fancy car horn play a song over and over,0,0,0,0,0
14992,a vehicle move while people talk,0,0,0,0,0
14993,the child talk about people be kind to everyone involve,0,0,0,0,0
14994,man talk with a tick nice in the back grand,0,0,0,0,0
14995,a fly buzz around along with a soft crumpling sound follow by a soft crumpling sound,0,1,0,0,1
14996,race car engine change gear as tire squeal and the wind go by in a fast blast,0,0,0,0,0
14997,woman talk in a normal voice,0,0,0,0,0
14998,a motor be hear make a high pitch whine back back and forth and a motor be hear make a high pitch whine back,0,1,1,0,1
14999,there be a police siren,0,0,0,0,0
15000,a child pretend to be a cat meow,0,0,0,0,0
15001,an adult male make a speech,0,0,0,0,0
15002,"breathing , a knock on a door and a man speak , a child speak then a woman speak , a door close",0,0,0,0,0
15003,buzzing be hear while a small object zip by,0,0,0,0,0
15004,a large vehicle engine be run with,1,0,0,0,1
15005,an engine run loudly loudly with beep,0,0,1,0,1
15006,a man speak and clank,0,0,0,0,0
15007,several horse clip - clop on pavement,0,0,0,0,0
15008,a child speak speak in an outdoor set with lot of wind,0,0,1,0,1
15009,the vibration of a propeller of an airplane idle,0,0,0,0,0
15010,whistling and rustle rustle,0,0,1,0,1
15011,water flow down a stream as music play and speak briefly in the distance,0,0,0,1,1
15012,a man talk with a sheep in the background in the,1,0,0,0,1
15013,goat baa as wind blow into a microphone and metal clinking follow by a man speak,0,0,0,0,0
15014,a man be give speech confidently as a man be give a speech confidently,0,1,0,1,1
15015,a train run and blow a a horn before a train,0,1,1,1,1
15016,an engine start and run for a little then stop and blow a horn,0,0,0,0,0
15017,a toilet be flush and the water gurgle loudly,0,0,0,0,0
15018,a woman talk as a bird chirps and then,1,0,0,0,1
15019,people talk on a television nearby as a person snore loudly nearby,0,0,0,0,0
15020,tone of a rediale telephone follow by a ring tone as tone of a rediale telephone,0,1,0,0,1
15021,a bell ring and a horn blow from an oncoming train before a bell ring,0,1,0,0,1
15022,a man man talk follow by a horn honk,0,0,1,0,1
15023,an ambulance be drive with siren sound as a woman speak lowly,0,0,0,0,0
15024,a computer mouse click follow by a guy talk,0,0,0,0,0
15025,people speak as a clock tick and rock and a follow by a clock tick,1,1,0,0,1
15026,sizzling occur then an explosion be follow by speak,0,0,0,0,0
15027,a woman talk nearby nearby,0,0,1,0,1
15028,people talk and bird chirp and bird chirp,0,1,0,0,1
15029,brief speech follow by several loud bang and brief silence,0,0,0,0,0
15030,pigeon coo and walk around,0,0,0,0,0
15031,birdsong and a horn and,0,1,0,1,1
15032,a woman voice be be talk in a foreign language follow clanking of sizzling of food,0,0,1,1,1
15033,baby coo follow by man laugh,0,0,0,1,1
15034,a man speak and vehicle crank follow by vehicle crank,0,1,0,0,1
15035,two man speak and water move,0,0,0,0,0
15036,silence follow by a woman speak,0,0,0,0,0
15037,wood be be chop by tool after be be chop by tool,0,1,0,1,1
15038,people talk follow by bird flock and flap their wing while vocalize of a after vocalize,1,1,0,0,1
15039,a man speak while a motor run gently in background,0,0,0,1,1
15040,loud engine along with muffled male voice over a speaker in the distance on the,1,0,0,0,1
15041,continuous vibrating,0,0,0,0,0
15042,steam hiss and talk,0,0,0,1,1
15043,the engine of a vehicle be run and two man speak and then,1,0,0,0,1
15044,a a large audience,0,0,1,1,1
15045,a man speak speak and another respond,0,0,1,1,1
15046,a male voice talk,0,0,0,0,0
15047,a woman be speak and some wind be blow,0,0,0,0,0
15048,"a a variety of emergency vehicle siren be blow ; fire , ambulance and police , and a large motor vehicle horn blow",0,0,1,0,1
15049,repetitive alternate and click before repetitive alternate hissing,0,1,0,1,1
15050,white noise and rustle with intermittent hissing,0,0,0,0,0
15051,saw saw blade cut through metal,0,0,1,0,1
15052,a man and woman speak and a cat meow,0,0,0,0,0
15053,"a person be blow a duck call , a slight whistle occur , and goose be honk in the distance in the and goose be honk in in the distance",1,1,1,0,1
15054,a medium voice male narrate while the wind blow repeatedly and the leave rustle,0,0,0,0,0
15055,"an engine run with distant , muffled speech",0,0,0,0,0
15056,a machine work while liquid flow and and some people talk far away with,1,0,1,0,1
15057,white noise and distant murmuring follow by a loud horn,0,0,0,0,0
15058,two woman talk and dog barking after dog barking,0,1,0,0,1
15059,a baby laugh follow by a man laugh and joyfully speak to it with before a man laugh,1,1,0,0,1
15060,"water be be spray , he be talk",0,0,0,0,0
15061,a train blow its whistle and swoosh past,0,0,0,0,0
15062,man be speak to a group of people,0,0,0,0,0
15063,adult female be speak,0,0,0,1,1
15064,wave wave crash at the shore,0,0,1,0,1
15065,a train train horn sound loudly as a train pass by and a,1,0,1,0,1
15066,a muffled motorcycle engine run idle as a person whistle follow by a muffled motorcycle engine accelerate as wind blow heavily into into a microphone,0,0,1,0,1
15067,an explosion happen,0,0,0,0,0
15068,a train approach and blow a horn before pass,0,0,0,0,0
15069,person snore,0,0,0,1,1
15070,car engine hum as traffic pass with with honk horn,0,0,1,0,1
15071,several short beep follow by rock music and a man talk,0,0,0,0,0
15072,a train blow a horn and the railroad crossing ding,0,0,0,0,0
15073,some liquid flow while wind blow,0,0,0,0,0
15074,a man speak as pigeon be coo and,1,0,0,0,1
15075,people talk and laugh nearby as pig oink in the distance,0,0,0,0,0
15076,high pitched vibration of a small motor follow by a man speak on the after a man speak,1,1,0,0,1
15077,car engine idle then accelerate and then return to idle follow by,1,0,0,0,1
15078,sheep bleating and and speak,0,0,1,1,1
15079,a vehicle engine run follow by a man speak in the,1,0,0,0,1
15080,a woman briefly speak before a young girl be burp then speak while a woman speak,0,1,0,1,1
15081,goose squawk as bird wing flap while a bird chirps in the background,0,0,1,1,1
15082,man speak in a foreign language while faucet be run,0,0,0,0,0
15083,vibration hum with with some light knock,0,0,1,1,1
15084,multiple bell ring,0,0,0,0,0
15085,several gunshot go off in rapid succession after another follow by a male voice talk and a gun cock,0,0,0,1,1
15086,siren follow by the emergency vehicle stop and then,1,0,0,0,1
15087,hum of an engine with some brief hissing,0,0,0,0,0
15088,a kid talk while plastic crinkle follow by gear cranking,0,0,0,0,0
15089,"water run , accompany by people speak before water run , accompany by people speak",0,1,0,0,1
15090,"type on a mechanical keyboard at a rapid , constant rate",0,0,0,0,0
15091,a a few honk of a car horn follow by a dog bark,0,0,1,0,1
15092,baby cry loudly follow by a baby cry loudly,0,1,0,1,1
15093,music play nearby loudly,0,0,0,0,0
15094,an engine consistently,0,0,0,1,1
15095,rain fall on a surface follow by muffled thunder,0,0,0,0,0
15096,indoor ambiance follow by plastic clanking and wood fall on a surface in the background and tic clanking,0,1,0,0,1
15097,computer keyboard type and a,1,0,0,0,1
15098,an engine work in idle and then accelerate and after an engine work in idle,1,1,0,0,1
15099,people talk and wind distort a microphone after people,0,1,0,1,1
15100,"a person talk nearby , after which a horse neighs follow by a person talk again before which a horse neighs",0,1,0,1,1
15101,"a clock ticktock , and then a person breathe nearby as it continue to tick take",0,0,0,0,0
15102,water follow by bird chirp,0,0,0,1,1
15103,heavy wind follow by more heavy wind and two female speak briefly,0,0,0,0,0
15104,hiss then blare of emergency vehicle siren,0,0,0,0,0
15105,multiple car engine run as multiple car engine,0,1,0,1,1
15106,someone be scrap something while bee be fly around after someone be scrap something,0,1,0,0,1
15107,woman speak in foreign language with the wind in background and dog pant follow by,1,0,0,0,1
15108,engine run loudly and consistently with distant murmuring,0,0,0,0,0
15109,engine chug consistently,0,0,0,0,0
15110,bell be ring ring while dog be bark follow by dog be,0,1,1,1,1
15111,a old man be exchange information shortly follow by a door open,0,0,0,0,0
15112,a man speak follow by several click,0,0,0,0,0
15113,a bird singe,0,0,0,1,1
15114,man speak with farm animal in background background,0,0,1,0,1
15115,loud engine be steady then rev,0,0,0,0,0
15116,the sizzling of food in a pan and a,1,0,0,0,1
15117,a a dog pant heavily,0,0,1,0,1
15118,dry scratching accompany by a man speak and a,1,0,0,0,1
15119,a person be snore while sleep before a person be snore,0,1,0,0,1
15120,a young female be speak and a a motor be run,0,0,1,0,1
15121,click and rattle vibration in the,1,0,0,0,1
15122,motorcycle accelerate while a man talk far away after several motorcycle accelerate,0,1,0,1,1
15123,a person talk and type on on the,1,0,1,0,1
15124,rain pour and wind blow on a plastic surface as a woman be talk after wind blow on a pl,0,1,1,1,1
15125,an decelerate rapidly,0,0,0,1,1
15126,a man speak speak follow by scrape and scrape,0,1,1,0,1
15127,hum of a car engine follow by a man speak,0,0,0,0,0
15128,a teach and narrate,0,0,0,1,1
15129,a child speak and move dish then a woman speak in the background,0,0,0,0,0
15130,a machine motor run as metal clank follow by compress air releasing while a man talk faintly in the background,0,0,0,0,0
15131,the man thank people for and then everyone clap and,1,0,0,1,1
15132,bird flap and coo with people talk as,1,0,0,0,1
15133,foot step follow by a toilet flush with,1,0,0,0,1
15134,breathe noise as a spray spray,0,0,0,1,1
15135,"a car rev up multiple time , follow by a siren blare and a car collide",0,0,0,0,0
15136,a crowd of people laugh as a man be speak then laugh with a woman and an infant laugh and,1,0,0,0,1
15137,child speak and whistle before whistle,0,1,0,0,1
15138,the sound of high speed car racing be follow by a short announcer 's voice after the sound of high speed car racing be,0,1,0,0,1
15139,pig snort then oink with some walking on sand,0,0,0,0,0
15140,high speed vibration and humming humming of a sewing machine follow by light rustle,0,0,1,0,1
15141,the sound of six gunshot be in a row,0,0,0,1,1
15142,hum and rustle with a distant siren ring,0,0,0,0,0
15143,light static with a vehicle pass then a train car and another vehicle and a,1,0,0,0,1
15144,a clock tick as bell chime and wood rattle follow by a clock tick,0,1,0,0,1
15145,various people talk and animal towards end,0,0,0,1,1
15146,a vehicle slow down and squeal tire,0,0,0,0,0
15147,a dog be whimper,0,0,0,0,0
15148,a helicopter propel while it be fly in the air,0,0,0,0,0
15149,multiple bird chirp chirp with,1,0,1,0,1
15150,a man man speak follow by rain fall and thunder roar,0,0,1,0,1
15151,a young girl laugh follow by some rustle and more laugh than a girl speak,0,0,0,0,0
15152,"train run down the track , accelerate increase pitch and while e pitch",1,1,0,0,1
15153,water slosh nearby a baby hum,0,0,0,1,1
15154,a man talk while some kitchenware be tap,0,0,0,0,0
15155,a young man burps loudly and another young man speak loudly and clap,0,0,0,0,0
15156,gun be fire repeatedly,0,0,0,0,0
15157,a sound of a girl laughing and man speak and bike ride sound,0,0,0,0,0
15158,thunder roar in the distance with rain fall,0,0,0,0,0
15159,a snore snore with a woman laugh,0,0,1,1,1
15160,wind blow follow by a dog bark in the,1,0,0,0,1
15161,a toilet be flush,0,0,0,0,0
